# Array shape: (557, 3)
0.000000000000000000e+00,5.000000000000000000e-01,2.500000000000000000e-01
2.500000000000000139e-02,5.000000000000000000e-01,2.380420052601261161e-01
5.000000000000000278e-02,5.000000000000000000e-01,2.161686768039176032e-01
7.500000000000001110e-02,5.000000000000000000e-01,1.670674467801031571e-01
1.000000000000000056e-01,5.000000000000000000e-01,1.094671725888581582e-01
1.250000000000000000e-01,5.000000000000000000e-01,9.398828902233817562e-02
1.500000000000000222e-01,5.000000000000000000e-01,7.394171331391689861e-02
1.750000000000000167e-01,5.000000000000000000e-01,6.039080341199500046e-02
2.000000000000000111e-01,4.872552946760523307e-01,5.559875338431699565e-02
2.250000000000000056e-01,3.189408594986922196e-01,5.224534809517029921e-02
2.500000000000000000e-01,1.345177758978378102e-01,4.832150219382101708e-02
2.750000000000000222e-01,-2.468559351871790764e-03,5.212890612990750405e-02
3.000000000000000444e-01,-9.478508756158464388e-02,5.236054518262349411e-02
3.250000000000000111e-01,-1.494427076842908542e-01,5.287019062598136143e-02
3.500000000000000333e-01,-1.881417508630134627e-01,5.203921028195050008e-02
3.750000000000000000e-01,-2.097850383554790421e-01,5.383473222372309186e-02
4.000000000000000222e-01,-2.256319122580094927e-01,5.633324805731651508e-02
4.250000000000000444e-01,-2.379539300599303187e-01,5.824788455620995287e-02
4.500000000000000111e-01,-2.449455012415422961e-01,6.150290838473553706e-02
4.750000000000000333e-01,-2.516493437695596080e-01,6.181693400205023892e-02
5.000000000000000000e-01,-2.531264184414353524e-01,6.396653936444222921e-02
5.250000000000000222e-01,-2.517722577446366850e-01,6.558605766862858621e-02
5.500000000000000444e-01,-2.488146634343498254e-01,6.474182924780354231e-02
5.750000000000000666e-01,-2.412567356968361165e-01,6.605129494917781618e-02
6.000000000000000888e-01,-2.304816224329745145e-01,6.712216867875178683e-02
6.250000000000000000e-01,-2.168235141971411317e-01,6.588443836604271353e-02
6.500000000000000222e-01,-1.994476717459127690e-01,6.690587203139061745e-02
